Timestamp,Experience in subtitling (in years),Experience in Machine Translation post-editing (in years),experience,What percentage of your subtitling jobs involves using master templates?,What percentage of your subtitling jobs involves working directly from the video?,What percentage of your subtitling jobs involves editing machine translated subtitles?,difficult/easy,unpleasant/pleasant,stressful/relaxed,laborious/effortless,slow/fast,inefficient/efficient,boring/exciting,tedious/fun,complicated/simple,annoying/enjoyable,limiting/creative,demotivating/motivating,impractical/practical,Automatic spotting was poor/good,Fixing the spotting took a lot of effort/was easy,Automatic segmentation was poor/good,Fixing the segmentation took a lot of effort/was easy,What were the main issues with the automatic translation?,What were the main issues with the automatic spotting?,What were the main issues with the automatic segmentation?,"In your opinion, what are the main benefits of using automatic subtitling?",Do you think automatic subtitling helps the work of subtitlers? ,Do you see any danger for the profession of the subtitler from using automatic subtitling?,How do you adjust the spotting (timecodes) of the subtitles in MateSub?
2021/12/14 6:07:56 PM GMT+1,1,1,Rarely,70,30,70,3,1,2,-1,0,2,2,2,2,2,3,3,3,-1,-2,3,3,It was wrong sometimes. It didn't detect the words accurately,Sometimes it missed parts of the conversations.,None,Saves a lot of time!,I do think so. ,I think it would help at first but there will always be a subtitles in charge of proofreading at least.,Mouse only
2021/12/14 10:46:14 PM GMT+1,3,3,Often,50,60,70,1,1,0,1,1,-1,0,0,1,1,0,2,3,-1,-1,-1,-1,"The context is not necessarily respected, and the relationship between people is not always obvious",The subtitles did not start when the character spoke and did not stop at the right time.,There was no logic to the segmentation. It was difficult to reread the subheadings and make sense of the sentence.,This will save time,I think it helps the translator who then has to correct some mistakes,"I don't think so because the human translator will always be able to render a quality work by knowing the context of the translation, a human being knows his native language and the vocabulary adapted to the translation. The machine will be efficient in the short term while the human being is able to do it in the long term. ",Mouse and shortcuts
2021/12/14 11:31:18 PM GMT+1,1,2,Rarely,75,20,5,3,3,3,3,3,3,3,3,3,3,2,3,3,1,1,-1,0,Sometimes it wouldn't understand certain words or phrasing and it would result in something strange. It also missed the spot a few times and didn't recognize names well or misunderstood the source language so I needed to listen carefully.,"I thought that it started too much on the ""noise"", even if the speaker hadn't said a word they'd started speaking long before you could hear anything out of their mouth. That is something I tried fixing. Lip movement and intention need to be taken into account because it betters the subtitles in my opinion, which is why I usually start the subtitle a little nudge before the actual sound. Moreover, it would sometimes miss some of the dialogue as well. ",I also needed to break down the segmentation quite often and fix it. I remember a whole sentence once being separated word for word into different segments. I needed to merge segments a lot of the time.,I think it is more efficient and faster for sure. It can even offer you some clever solution to a problem you didn't know you would encounter during subtitling. Fixing what is already there is a lot of the time faster than creating something new and it still can be creative.,"I think it does make us more efficient, faster. At the same time, I think automatic subtitling will never level with professional human subtitling, simply because machines are lifeless, soulless. They can't feel what is on screen and will never understand the meaning of life and death or whatever in-between. But, subtitlers, like translators, will become post-editors. That's what the future holds for the profession, we can't deny it. Better get used to working together.","No, as I said, subtitlers will always be needed.",Mouse and shortcuts
2021/12/15 1:44:51 AM GMT+1,1,1,Rarely,20,60,20,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,If the actor would speak too low or too fast the automatic translation could not recognize their words. Same comment with Nouns... difficult to unscramble.,I thought that worked pretty well. Sometimes I felt the in/out times came too soon/late. Easy to fix.,Pretty good. The timeline is pretty easy to go around and work on the segments. Sometimes not possible to add a new segment. Had to split one instead. One improvement suggestion: it would be great to have the possibility to copy/paste a segment. I would also give the possibility to activate/disactivate a magnet tool in the timeline. Like in any editing software.,You save a lot of time. ,Yes.,"No. The tool is not (yet) precise enough for the subltitles to make sense most of the time. Nouns, idioms, everything that makes a language alive can't be translated by the machine (yet). Thankfully. :-)",Mouse only
2021/12/15 7:53:25 PM GMT+1,2,2,Sometimes,0,100,0,2,-1,2,1,1,0,0,-1,1,0,-2,-2,-1,1,1,1,2,"Many noises were registered as words and subtitles were created for them, machine translation was wrong in several points and needed to be completely rewrited, and in some cases it might create a loss of quality (a translator might find acceptable the machine alternative and leave it the way it is, but the outcome without a proposed machine translation could have been different)","In some cases, spotting did not respect the correct syntax of the utterances.",It would be quicker to create for short utterances automatic subtitles  which already respect the minimum time on screen,A relative gain of time,"Not in most cases, especially in movies and TV series, when the language contains many elements not detectable by the machine (noises, slang, jargoon). I think it might be a suitable option to be used for other audiovisual products, such as online conferences or courses, documentaries, etc.","The loss of quality of the final product, and an eventual rate decrease, since post-editing works are usually valued less than translation ones.",Mouse only
2021/12/15 9:15:48 PM GMT+1,3,1,Never,90,10,10,3,3,3,2,2,3,1,1,2,2,-1,1,2,1,2,2,1,None. ,None. ,"Sometimes subtitles are too much segmented (three subtitles, for one short sentence for example), which can make the manipulation on the time-line less practical. ","Enables the subtitler to focus more on translation, task requires less time thanks to automatic subtitling. ",Yes. ,"If the softwares become too efficient or if people get use to poor quality subtitling, it could be a danger for our profession. ",Mouse only
2021/12/16 12:24:13 AM GMT+1,2,3,Rarely,78,95,26,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,Sometimes the translation was not correct. Also If you translate ,"Hard to correct if there are fast translations coming. You can do everything with your laptop Buttons But not saving, or helping the issue. Therefore i used my mouse instead of the buttons. Would be Nice if for everything in the system a button is in place","Sometimes Its starts to early. You also rely on it, So if it skips items you dont see it ",Its faster,Yes,"Yes, you rely on the automatic translation. ","Mouse only, But This is because there is not a shortcut for everything. If everything had a shortcut i would use it"
2021/12/16 5:55:46 AM GMT+1,5,5,Rarely,95,5,95,-1,0,-1,0,-3,-1,0,-1,3,0,2,1,2,2,3,2,3,"As far as MateSub is concerned, I think the program approached translation in a bit too individual way (it focused more on translating single words instead of full sentences - the problem probably stems from the fact that one longer sentence was often split into 2-3 separate subtitles).","As far as MateSub is concerned, it was mostly spot on :) Sometimes the machine didn't spot some single-word speech.","I am not exactly sure if it is the correct place to write this concern, but the inability to edit the automatic source subtitles was really a pain in MateSub. The option to edit the source subtitles would significantly increase the performance, because these source subtitles were not human-made and I had to correct them (I had to remember and correct them in my mind, as I couldn't do any changes to the source subtitles). No option for editing the source would be acceptable, only when I would receive correct and ready human-made source subtitles.",They speed up the whole process and help a lot in probably the most tedious part of subtitling - creating and setting up the timecodes (even if not accurate every time then still it is faster than doing it from scratch).,"Yes, definitely.","It may seem like people won't be needed if that AI would be more and more developed, but it is a part of an overall progress (for example: goods being produced by automatic methods are common and it still don't mean people are not needed in the production process - just the responsibilities and work positions changed their nature).",Mouse only
2021/12/16 10:09:39 AM GMT+1,4,2,Sometimes,50,10,50,2,0,3,1,1,2,1,1,2,3,0,3,3,-2,3,-1,3,Slang. Figurative speech.,"The time segments were too short. Starting to late and ending way too fast. I prefer them to be longer. It's easier for me to shorten some of them, if needed, then to elongate every single one.","Some fragments of speech were cut into too many thin pieces. Strangely enough, other ones included two voices together, even if they weren't simultaneous at all or even too close together. The issues weren't big or didn't happen too often, though. Splitting and joining is super easy.","The most menial tasks of creating and spotting the segments is taken care of. It's almost only fine tuning, when using the automatic subtitling.",A lot!,As much as farming machinery pose threat to farming. Bigger efficiency means bigger turnover will be needed for the same gain.,Shortcuts only
2021/12/16 12:04:55 PM GMT+1,5,0,Rarely,10,90,0,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,-1,1,"names, idioms, slangs","some subtitles started a little bit after they should have. At times, characters were speaking clearly yet there were no subtitles at all.",Some subtitles were too short,helps you work more quickly,yes,"no, as long as post-editing is done by professional subtitlers.",Mouse only
2021/12/16 7:46:06 PM GMT+1,1,1,Never,0,100,0,2,0,2,1,1,1,-1,-1,2,0,-1,1,2,1,2,-1,-1,"It was ok most of the time but sometimes it would have been easier without a translation because I had to correct in some tasks nearly everything. Regarding to orthography and grammar, it was ok, regarding punctuation and case sensitivity, it was full with errors and not helpful. ","This worked pretty fine, it covered nearly any speech which was there. ","It also showed segments which were often too short or just noises, anyways it was pretty helpful to cover more or less the relevant segments and some of them had to be corrected or shortende/joined togehter/made longer. ","After getting known to the tool, the working progress is a lot faster, especially when there are already the automatic spotting and segmentation. This helps to concentrate on the spoken text and be distracted by trying to segment. ","Yes, I think, it can be useful. As already mentioned, the automatic subtitles are still pretty poor, they should be improved regarding to punctuation and case sensitivity.","No, because the automatic subtitling is just an offer to the subtitler and anyways he has to work it over and correct it and also to renew the subtitles often. Automatic subtitles doesn't work without reviewing. ",Mouse only
2021/12/19 11:33:29 AM GMT+1,3,10,Sometimes,20,70,10,-2,-2,-2,-3,-1,-2,-2,-2,1,-2,0,0,-3,-1,-2,-1,-2,"It was of poor quality, sometimes misleading.",It was not accurate.,Often times it needed re-working.,"It may be beneficial in other languages, but not in Polish.","It may help in other languages, but not really in Polish.","Clients may choose cheaper, automatic subtitles of poor quality over more expensive, accurate human translation.",Mouse and shortcuts
